total 164
  Pr0.00   0x0001 指令脉冲数 /转                  rng=[200,51200] def=10000 unit='P / R'
  Pr0.01   0x0003 开闭环模式选择                   rng=[0,255] def=2 unit='--'
  Pr0.02   0x0005 控制模式及指令来源                 rng=[0,10] def=1 unit='--'
  Pr0.03   0x0007 电机运行方向                    rng=[0,1] def=0 unit='--'
  Pr0.04   0x0009 电机电感值                     rng=[0,10000] def=1499 unit='0 . 001 mH'
  Pr0.05   0x000B 跟踪误差最大值                   rng=[9,65535] def=65535 unit='编码器 单位'
  Pr0.07   0x000F 强制使能                      rng=[0,1] def=0 unit='--'
  Pr1.00   0x0051 位置环 Kp                    rng=[0,3000] def=25 unit=''
  Pr1.01   0x0053 速度环 KI                    rng=[0,3000] def=0 unit=''
  Pr1.02   0x0055 速度环 Kp                    rng=[0,3000] def=25 unit=''
  Pr1.03   0x0057 转矩前馈                      rng=[0,10000] def=50 unit='%'
  Pr1.07   0x005F 位置环滤波频率                   rng=[0,3000] def=3000 unit='Hz'
  Pr1.08   0x0061 速度环滤波频率                   rng=[0,3000] def=300 unit='Hz'
  Pr1.10   0x0065 位置环 KpH                   rng=[0,3000] def=0 unit=''
  Pr2.00   0x00A1 指令脉冲 FIR 滤波时间             rng=[0,1024] def=100 unit='0 . 1ms'
  Pr2.01   0x00A3 开环切到闭环速度阀 值               rng=[0,200] def=18 unit='0 . 1r / s'
  Pr2.02   0x00A5 闭环切到开环速度阀 值               rng=[0,200] def=12 unit='0 . 1r / s'
  Pr2.03   0x00A7 开环切到闭环延时                  rng=[0,32767] def=5 unit='ms'
  Pr2.04   0x00A9 闭环切到开环延时                  rng=[0,32767] def=10 unit='ms'
  Pr2.05   0x00AB 闭切到开环反馈速度 阀值              rng=[0,200] def=50 unit='0 . 1r / s'
  Pr2.06   0x00AD 静止时超前角切换                  rng=[0,65535] def=500 unit='ms'
  Pr2.07   0x00AF 位置环积分切入延时                 rng=[0,65535] def=2000 unit='0.05ms'
  Pr2.08   0x00B1 指令脉冲 IIR 滤波带宽             rng=[1,3000] def=320 unit='Hz'
  Pr2.09   0x00B3 位置环积分死区                   rng=[0,65535] def=1 unit='pulse'
  Pr2.13   0x00BB VBS 开启                    rng=[0,1] def=0 unit='--'
  Pr2.14   0x00BD VBS 补偿相位                  rng=[0,360] def=50 unit='deg'
  Pr2.15   0x00BF VBS 增益                    rng=[0,1000] def=125 unit='--'
  Pr2.16   0x00C1 VBS 速度上限值                 rng=[0,500] def=200 unit='0.01r/ s'
  Pr2.17   0x00C3 VBS 速度下限值                 rng=[0,500] def=49 unit='0.01r/ s'
  Pr2.18   0x00C5 VBS 电流限幅值                 rng=[0,20] def=10 unit='0.1A'
  Pr2.19   0x00C7 加速度 HP 滤波带宽               rng=[0,3000] def=320 unit='Hz'
  Pr2.20   0x00C9 加速度 LP 滤波带宽               rng=[0,3000] def=320 unit='Hz'
  Pr2.21   0x00CB 加速度系数                     rng=[0,5000] def=1000 unit=''
  Pr2.22   0x00CD 加速度前馈角限幅值                 rng=[0,180] def=58 unit='deg'
  Pr4.02   0x0145 DI1 输入口 1                 rng=[0,65535] def=None unit='--'
  Pr4.03   0x0147 DI2 输入口 2                 rng=[0,65535] def=0 unit='--'
  Pr4.04   0x0149 DI3 输入口 3                 rng=[0,65535] def=0 unit='--'
  Pr4.05   0x014B DI4 输入口 4                 rng=[0,65535] def=0 unit='--'
  Pr4.06   0x014D DI5 输入口 5                 rng=[0,65535] def=0 unit='--'
  Pr4.07   0x014F DI6 输入口 6                 rng=[0,65535] def=0 unit='--'
  Pr4.08   0x0151 DI7 输入口 7                 rng=[0,65535] def=0 unit='--'
  Pr4.11   0x0157 DO1 输出口 1                 rng=[0,65535] def=0 unit='--'
  Pr4.12   0x0159 DO2 输出口 2                 rng=[0,65535] def=0 unit='--'
  Pr4.13   0x015B DO3 输出口 3                 rng=[0,65535] def=0 unit='--'
  Pr4.19   0x0167 抱闸松开的延时                   rng=[0,1500] def=250 unit='ms'
  Pr4.20   0x0169 抱闸吸合的延时                   rng=[0,1500] def=250 unit='ms'
  Pr4.21   0x016B 抱闸吸合速度阀值                  rng=[0,500] def=10 unit='--'
  Pr4.22   0x016D 故障检测选择                    rng=[0,65535] def=65535 unit='--'
  Pr4.24   0x0171 到位时位置误差设定                 rng=[0,1500] def=800 unit='--'
  Pr4.25   0x0173 到位时位置误差软件 消抖延时            rng=[0,100] def=3 unit='ms'
  Pr4.26   0x0175 零速度阀值                     rng=[0,500] def=10 unit='r / min'
  Pr4.27   0x0177 母线电压                      rng=[0,65535] def=0 unit='0 . 1V'
  Pr4.28   0x0179 输入 IO 状态                  rng=[0,65535] def=0 unit='--'
  Pr4.29   0x017B 输出 IO 状态                  rng=[0,65535] def=0 unit='--'
  Pr4.35   0x0187 拨码状态                      rng=[0,65535] def=0 unit='--'
